,prompt,clip_inter
238,"chris evans as the homelander, marvel style, hyper realistic portrait, ","['a painting of a man in a red suit', ' marvel art', ' marvel superhero', ' medium close - up ( mcu )', ' marvel concept art', ' textless', ' super hero art', ' concept art of tony stark', ' portrait of captain america', ' marvel comics style', ' marvel comic book characters', ' marvel character', ' inspired by Tony Sart', ' epic comic book art', ' 4k highly detailed digital art']"
239,stalin tapdancing on stage. red curtain. spotlight. top hat. photorealistic. trending on artstation. ,"['a painting of two men dressed in tuxedos', ' inspired by Arkhip Kuindzhi', ' by Béla Kondor', ' stalin and lenin in gay-bar', ' inspired by Boris Kustodiev', ' soviet era', ' soviet', ' vladimir krisetskiy', ' by Pál Balkay', ' stalin as superman', ' by Ștefan Luchian']"
240,"pov in a crowd of troubadour with toga in ancient neoclassical buildings, light blue troglodyte temples with yellow drapery in a deep flesh pit by piranesi, cinestill 8 0 0 t 3 5 mm, high quality, mud, rain, fog, by night, ultra wide lens, anamorphic, dramatic light ","['a crowd of people standing in front of a building', ' stone age rave in a cave', ' cavernous interior wide shot', ' epic stunning atmosphere', ' in a massive cavernous iron city', ' cavernous', ' stunning atmosphere', ' inside an enormous vast cave', ' very epic atmosphere', ' sergey zabelin', ' concert', ' all inside an enormous cavern', ' beautiful atmosphere', ' cavern']"
241,"vfx film closeup, monster creature by aaron sims, low - key lighting award winning photography arri alexa cinematography, hyper real photorealistic cinematic beautiful, atmospheric ","['a close up of a monster like creature on a cloudy day', ' jormungandr', ' jörmungandr', ' giant kaiju dragon monster', ' movie still of a snarling', "" z'gok. 8 k hd resolution"", ' trex from godzilla (2014)', ' weta studios', ' cg art', ' photo of cthulhu', ' gaping maw', ' film still dnd']"
242,"tree spiraling into the infinite sky, worldtree, yggdrasil, art by artgerm and greg rutkowski and magali villeneuve, d & d, fantasy, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration ","['a large tree with a sky background', ' yggdrasil', ' the world tree', ' fantasy tree', ' world tree', ' cosmic tree', ' highly detailed fantasy art', ' symmetrical epic fantasy art', ' wide angle fantasy art', ' magical tree', ' inspired by tomasz alen kopera', ' magic tree', ' large magical trees', ' galactic bonsai', ' detailed fantasy art', ' giant tree', ' numenera']"
243,"textless logo. a giant human fist crushes the planet earth. logo design. graphic design. clean lines, solid colours. textless ","['a couple of people hugging each other in a circle', ' cartoonish and simplistic', ' by Bálint Kiss', ' logo for a social network', ' by Hans Falk', ' logo vector art', ' by Elias Ravanetti', ' by Hanns Katz', ' rounded logo', ' concept illustartion', ' logo concept design', ' vectorized logo style', ' by Fathi Hassan']"
244,"amazon warrior mila kunis riding mounted on a fierce large white tiger, wintery scene, snow storm, donato giancola, mark brooks, ralph horsley, charlie bowater, artgerm, christopher balaskas, bastien lecouffe - deharme ","['a woman riding on the back of a white tiger', ' kerem beyit', ' by Kerembeyit', ' hunting a tiger', ' tyler edlin fantasy art', ' a wizard battling a tiger', ' by ken kelly', ' tiger_beast', ' mark brooks detailed', ' dwayne barlowe', ' inspired by ken kelly', ' amano and karol bak', ' by Mark Brooks', ' inspired by Mark Brooks']"
245,"redhead bombshell anime girl wearing brown lolita dress, mob cap red shoes, tie. by krenz cushart extremely detailed, sharp focus, wallpaper, isekai farm. smooth digital illustration, matte painting concept art, cover art, trending on arstation, pixiv. splash art ","['a girl with red hair and a white dress', ' rias gremory', ' kurisu makise steins gate anime', ' gothic maiden anime girl', ' anime style 4 k', ' cute anime waifu in a nice dress', ' best anime 4k konachan wallpaper', ' rin', ' made with anime painter studio', ' guweiz', ' kantai collection style', ' from arknights']"
246,"line silhouette of a bird, line drawing art ","['a black bird sitting on top of a branch', ' black silhouette', ' detailed silhouette', ' on a gray background', ' standing bird', ' siluette', ' silhouette :7', ' bird', ' minimal art', ' on a pale background', ' silhuette', ' shadow', ' artistic drawing of a crow', ' on grey background', ' bird nightingale as subject', ' silhouette', ' stylized silhouette', ' vectorised']"
247,a hyperrealistic painting by ilya repin of a group of young people sitting by a table and on writing a message on an iphone. laughing and discussions. inside a bar. 5 0 mm. very detailed. ,"['a painting of a group of people sitting at a table', ' by Peder Severin Krøyer', ' peder severin kroyer', ' by Marie Krøyer', ' by Harriet Backer', ' hans dahl', ' by Michael Ancher', ' adolf hiremy - hirschl', ' inspired by Peder Severin Krøyer', ' by Fritz von Uhde', ' by Albert Anker']"
248,"sunset, art by artgerm and greg rutkowski and magali villeneuve, d & d, fantasy, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration ","['a woman with a sword standing on a rock', ' peter mohrbacher style', ' style of peter mohrbacher', ' peter mohrbacher artstyle', ' peter mohrbacher c 2 0', ' in style of peter mohrbacher', "" peter mohrbacher''"", ' graphic artist peter mohrbacher', ' peter mohrbacher. unreal engine', ' peter mohrbacher digital art']"
249,"painting of a man farmer at work in the field, by steve huston, arduous work, naturalist, jules bastien - lepage, muscular, shirtless, hard labour, melancholic, hyper - realistic, very detailed, dusk ","['a painting of two men plowing a field', ' working out in the field', ' emil ferriss', ' thomas eakins and beksinski', ' inspired by Jules Breton', ' greg rutkowski and anders zorn', ' inspired by Francis Davis Millet', ' cultivator', ' by Francis Davis Millet', ' man with scythe', ' in the styles of thomas eakins', ' summer morning']"
250,giant spider attending a barbeque ,"['a spider sitting on top of a metal bowl', ' big spider', ' giant spider', ' giant spider foreground', ' an ugly giant spider', ' spider sitting in chair', ' spider webbed body', ' spider', ' spider abdomen', ' spiders!!!!', ' tarantulas', ' spider legs large', ' spider thorax', ' a cute spider', ' steampunk spider', ' viewed from the side', ' fear of spiders']"
251,"lana del rey styled by nick knight, vogue magazine, annie leibovitz, highly realistic. high resolution. highly detailed. dramatic. 8 k. 4 k. ","['a woman in a white dress posing for a picture', ' red waist-long hair', ' lana del rey', ' long red hair', ' very long flowing red hair', ' long flowing red hair', ' with long red hair', ' vogue magazine editorial', ' jessica rabbit', ' sansa', ' long crimson hair', ' redhead woman', ' red long hair', ' long curl red hair', ' red haired goddess', ' jessica chastain']"
252,"brunch with eggs, lox, and bagels on a plate on cafe table detailed illustrator vector illustration 4 k ","['a variety of breakfast foods on a table', ' breakfast', ' hearty breakfast', ' diner food', ' super realistic food picture', ' 1024x1024', ' vector images', ' on a sunny day', ' anime food', ' illustration”', ' summer morning', ' diner background', ' hd illustration', ' flat', ' food', ' miscellaneous objects', ' food particles', ' clipart', ' amazing food illustration']"
253,[ sonic ]!! eating [ steak ] trending on artstation concept art photorealistic award winning 4 k 8 k quality detailed intricate wide - angle ,"['a piece of steak on a white plate', ' super realistic food picture', ' steak', ' beef', ' meat', ' meat texture', ' ( ultra realistic )', ' ( ultra realistic', ' hegre', ' eating meat', ' meaty', ' high resolution ultradetailed', ' [ realistic photo ]!!', ' photorealistic illustration', ' a hyper realistic', ' hyper realistic ”', ' hyper realistic”', ' photorealistic highly detailed', ' ultrarealistic illustration']"
254,"portrait of terrified! ball gown young woman, long brown hair, bloodied!, emerald necklace! au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart ","['a woman with blood all over her face', ' pale woman covered with blood', ' inspired by maxim verehin', ' by maxim verehin', ' beautiful zombie', ' photorealistic dark concept art', ' inspired by Darek Zabrocki', ' hauntingly beautiful zombie', ' bloody', ' bloody tears', ' photorealistic horror', ' dark fantasy mixed with realism', ' blood on clothes and face', ' bloody + concept art']"
255,"robert englund as a 1 8 5 0 s marvel villain eldrad, volumetric dark natural light, dark enlightenment, alchemy, albedo, octane render, by zdzislaw beksinski, jack kirby, tom lovell, alex malveda, greg staples ","['a man in a red robe with a creepy face', ' dwayne barlowe', ' stephen youll', ' by Dave Dorman', ' by Jason Edmiston', ' by Glenn Fabry', ' alex ross and richard corben', ' the sandman from graphic novel', ' metabaron', "" gabriele dell'otto"", ' neal adams | sinister', ' stan winston', ' inspired by Dave Dorman', ' wayne douglas barlowe']"
256,cybertron ,"['a large robot standing in front of a city', ' the city iacon cybertron', ' transformers fall of cybertron', ' transformers war for cybertron', ' cybertron', ' cybertronian', ' shockwave', ' cyber mech', ' an anime large mecha robot', ' dark grey decepticon mech', ' massive robot', ' cybernetic wallpaper', ' giant mech', ' giant mecha robot']"
257,"the temple of spiders, brutalist architecture. sheep, there is a sacrifice, the moon, moonlight, highly detailed, renaissance painting, gothic, 4 k, matte painting beksinsk, barlowe, dali ","['a painting of a man and a sheep in front of a building', ' inspired by Giorgio de Chirico', ' surreal scene', ' giorgio di chirico', ' chris achilleos', ' depicted as a scifi scene', ' chirico and rene magritte', ' bonestell', ' magic realism matte painting', ' greek fantasy landscape', ' wayne barlowe pierre pellegrini']"
258,"hot wheels real size car, photograph, epic cinematic, very high fetail ","['a blue car with yellow rims parked in a parking lot', ' hotwheels', ' hot wheels', ' aerodynamic!!!!!!', ' aerodynamic', ' racecar', ' wide screenshot', ' aerodynamic design', ' aerodynamic body', ' desktop background', ' hd wallpaper', ' super car', ' race car', ' wide body', ' widescreen shot', ' wideshot', ' muscle cars', ' supercar', ' super wide', ' wallpaper”']"
259,"ancient japanese fantasy garden at night, beautiful woman caring for peonies, beautiful face and hands, natural pose,, spotlight on the woman, pond with water lilies, ethereal warm light, mist, fantasy world, coherent composition, detailed fantasy painting, yuumei, noriyoshi ohrai, ( ( rolf armstrong ) ) ","['a woman in a pink dress standing in a pond of water', ' chinese fantasy', ' inspired by Tang Yin', ' oriental fantasy', ' beautiful digital artwork', ' japanese fantasy', ' surreal waiizi flowers', ' pink lotus queen', ' inspired by Toyohara Chikanobu', ' inspired by Ma Lin', ' inspired by Yanagawa Shigenobu', ' inspired by Chen Yifei', ' by Ju Lian']"
260,"highly detailed portrait of panda holding a bag, intricate, elegant, cinematic lighting, artstation, greg rutkowski, hdr, artgerm, gerald brom, wlop, alphonse mucha ","['a painting of a panda bear wearing a jacket', ' wojtek fus', ' panda', ' anthropomorphic samurai bear', ' inspired by Kanō Naizen', ' panda panda panda', ' feng zhu |', ' inspired by Zhu Da', ' inspired by Ludolf Bakhuizen', ' inspired by Joseph Badger', ' by Adam Marczyński', ' portrait of anthropomorphic bear']"
261,"art by brian reedy, a high contrast black ink linocut print of the giant cactus forest baja mexico, 8 k, frostbite 3 engine, cryengine, ground level shot, dof, trending on artstation, digital art, crepuscular ray ","['a black and white drawing of a cactus field', ' saguaro cacti', ' cacti', ' saguaro', ' cacti everywhere', ' made of cactus spines', ' cactus', ' high contrast wood engraving', ' peyote cactus desert', ' patchy cactus', ' charles burns', ' hoyte van hoytema', ' linocut art', ' the artist is charles burns', ' pen and ink monochrome']"
262,"character and environment design, portrait 2 0 - year - old dark fantasy female druid, tattered hood and robe, infested bear standing, medium shot, wide angle, 2 0 0 px ","['a woman dressed in a costume standing in a forest', ' portrait of a female druid', ' female druid', ' portrait of a forest mage', ' female orc forest druid', ' beautiful female druid', ' dark fantasy concept art', ' attractive tiefling druid', ' portrait of a female necromancer', ' alluring tiefling druid', ' gothic maiden shaman', ' female revenant', ' dark elf maiden']"
263,"good morning ( ( good morning ) ), field flowers, danish cookies, ancient manuscript, 3 d art, digitial illustration, nordic pastel colors, perfect lightning ","['a field full of purple flowers with lightning in the background', ' in a thunderstorm', ' flower storm portrait', ' thunderstorm the background', ' in the background a thunderstorm', ' during a thunderstorm', ' stormy background', ' thunderstorm background', ' stormy weather', ' against a stormy sky', ' stormy sky with thunders', ' more thunderstorm', ' colorized background', ' stormy skies', ' storm background', ' during a storm', ' thunder storm']"
264,a portrait of emma watson in the style of the mona lisa ,"['a painting of a woman holding a banana', ' mona lisa style', ' mona lisa painting', ' mona lisa', ' mona lisa as a real person', ' in da vinci style', ' ((the mona lisa))', ' negative no not mona lisa pose', ' painting of mona lisa', ' renaissance digital painting', ' similar to the mona lisa', ' leonardo da vinci style', ' monalisa', ' the mona lisa']"
265,"horse herd in a glade with corsican village, highly detailed, digital painting, artstation, concept art, sharp focus, illustration, art by aleksi briclot, raphael lacoste, magali villeneuve ","['a painting of horses and dogs in a wooded area', ' highly realistic concept art', ' albert bierstadt 4 k', ' inspired by Asher Brown Durand', ' 4k hd matte digital painting', ' by Rosa Bonheur', ' beautiful oil matte painting', ' inspired by Rosa Bonheur', ' martin raphael lacoste', ' realistic paleoart', ' inspired by Isidore Bonheur']"
266,"artistic portrait of a confident and severe looking northern war goddess, extremely long blond braided hair, beautiful blue eyes and red lips, perfect fit body, art by artgerm and greg rutkowski and magali villeneuve, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, masterpiece ","['a painting of a woman with long blonde hair', ' fantasy portrait art', ' graphic artist magali villeneuve', ' epic fantasy art portrait', "" magali villeneuve'"", ' artgerm portrait', ' fantasy art portrait', ' fantasy concept art portrait', ' inspired by Magali Villeneuve', ' by Magali Villeneuve', ' detailed matte fantasy portrait', ' artgerm. high detail', ' fantasy genre portrait']"
267,a traffic sign with red cross wirtten on it ,"['a red stop sign sitting on the side of a road', ' traffic signs', ' stop sign', ' no cars. sharp focus', ' sign', ' unobstructed road', ' exploitable image', ' no surroundings', ' no path', ' no horns', ' wearing a stop sign on its head', ' no tail', ' road street signs', ' still image', ' no watermarks', ' road', ' no hands visible', ' istock']"
268,"cyborgs church, beautiful landscape, environment, colors, film, dramatic, cinematic, highly detailed, mid day, large scale, hyperrealistic, realistic lighting, octane render, by wlop, artgerm, trending on artstation, hd, 8 k, clear, sharp ","['a man standing in front of a mountain', ' 4 k resolution concept art', ' 4k concept art', ' 4 k concept art', ' 8k matte painting', ' 8 k matte painting', ' concept art 8 k', ' concept art 8k resolution', ' concept art 8 k resolution', ' detailed 4k concept art', ' 8k resolution concept art', ' epic cinematic matte painting', ' 8 k high detail concept art']"
269,"a biomechanical blue raspberry made of metal, reflective ","['a blue balloon shaped like a skull on a green surface', ' rendered in keyshot', ' rendered in octane render 32k', ' rendered in octane', ' rendered in cinema 4 d octane', ' rendered in octane 3d', ' 3d rendered in octane', ' 3 d rendered in octane', ' rendered in cinema 4 d', ' rendered in cinema4d', ' 3 d sculpture 8 k octane render']"
270,"movie frame still from live action crazy penguin vampire with long and sharp fangs eating dinner, 8 k, ultra wide angle, zenith view, greg rutkowski, kim jung gi, ilm, oscar winning photography, grain, dramatic lighting, greg nicotero, troma, gore movie, horror movie, sharp focus, ultra lens ","['a group of penguins standing around a plate of food', ' 🦩🪐🐞👩🏻🦳', ' anthropomorphic penguin', ' fat penguin unity asset', ' realistic scene', ' food commercial 4 k', ' pinguin', ' penguins', ' ready to eat', ' animation film still', ' very realistic film still', ' penguinz0', ' a hyper realistic', ' fat penguin', ' award winning animation']"
271,broccoli in flight wild rift hero champions arcane magic digital painting bioluminance alena aenami artworks in 4 k design by lois van baarle by sung choi by john kirby artgerm style pascal blanche and magali villeneuve mage fighter assassin ,"['two anime characters with green hair and blue hair', ' jen bartel', ' vibrant fan art', ' afrofuturism anime', ' glowing and epic', ' full art illustration', ' inspired by Lois van Baarle', ' glowing in power', ' loish |', ' by Lois van Baarle', ' beautiful avatar pictures', ' rossdraws | afrofuturism', ' rhads and lois van baarle']"
272,"a cyborg robotic elephant made of metal in a large city, cinematic lighting ","['a large metal elephant statue in front of a city skyline', ' by Jakob Gauermann', ' rendered in keyshot', ' beautiful masterpiece', ' made from mechanical parts', ' great masterpiece', ' taken with sony a7r camera', ' wonderful masterpiece', ' made up of many bits of metal', ' beautiful digital artwork', ' mesmerizing', ' made out of shiny white metal', ' metal art', ' highly detail. octane render']"
273,"portrait of nicolas sarkozy, high quality, high detail, natural texture, photography, ilford film, heavy gain by annie leibovitz, by irving penn ","['a black and white photo of a man with his hand on his chin', ' platon', ' avedon', ' inspired by Yousuf Karsh', ' high quality portrait', ' portrait realistic photograph', ' photo realistic', ' realistic portrait photo', ' surreal!!!', ' photorealistic photo', ' fine portrait', ' photographic style of avedon', ' hyperrealistic photo', ' portrait!!!!!!', ' high quality print', ' portrait art']"
274,frumplejunkus in the style of john tenniel ,"['a cartoon of a cat holding a bag', ' inspired by Thomas Nast', ' by Ernő Grünbaum', ' by Fritz Bultman', ' by Veikko Törmänen', ' by Jóhannes Sveinsson Kjarval', ' by Zygmunt Waliszewski', ' by Gabrijel Jurkić']"
275,"portrait of a gaucho gentleman, military outfit, artstation, intricate, very detailed, jodhpurs greg manchess painting by sargent and leyendecker, studio ghibli fantasy close - up shot asymmetrical intricate elegant matte painting illustration hearthstone, by greg rutkowski by greg tocchini by james gilleard ","['a painting of two men in cowboy hats', ' beeple and jean giraud', ' james gurney painting style', ' artwork in the style of guweiz', ' by jean giraud', ' by Jean Giraud', ' cyberpunk wild west', ' style jean giraud', ' inspired by Jean Giraud', ' james gurney and andreas rocha', ' jean giraud 8 k', ' jean giraud portrait']"
276,meme about working at a peanut butter factory ,"['a bunch of cell phones that are sitting on a shelf', ' tiger skin', ' blurred detail', ' compressed jpeg', ' tall thin build', ' image depth', ' long beard', ' long chin', ' background blur', ' black and orange colour palette', ' long paint brush strokes', ' phone background', ' very long orange hair', ' full pallet image', ' ebay listing thumbnail', ' slight blur', ' black and auburn colour pallet']"
277,sa © racrawl sa © racrawl avalugg digital illustration fanart artstation by muhammad aiman ,"['a digital painting of a woman with a cigarette in her mouth', ' rossdraws 1. 0', ' rossdraws portrait', ' digital character painting', ' alena aenami and android jones', ' rossdraws 2. 0', ' rossdraws digital painting', ' portrait of a sci - fi woman', ' low detailed. digital painting', ' character art closeup', ' closeup character portrait', ' cyberpunk portrait', ' the cyberpunk girl portrait']"
278,post - impressionism ,"['a painting of a woman in a blue dress', ' by William Glackens', ' william james glackens', ' inspired by William Glackens', ' by Theodore Earl Butler', ' by Maximilien Luce', ' inspired by Louis Glackens', ' by Louis Glackens', ' inspired by Theodore Earl Butler', ' standing near a window', ' impressionism and expressionism', ' gustave loiseau']"
279,"portrait of beautiful long haired fluffy white cat with flowing fur wearing renaissance robes with lace collar and crown with jewels and flowers, detailed painting 4 k - n 4 ","['a white cat wearing a white dress and a crown', ' anthropomorphic female cat', ' anthropomorphic cat', ' elegant cat', ' oil painting of princess vulvine', ' anthropomorphic large maine coon', ' very very beautiful furry art', ' fleurfurr', ' majesty in noble clothes', ' masterpiece anthro portrait', ' baroque digital painting', ' inspired by Gabriel Metsu']"
280,"oil matte portrait, blue witch using fire magic on clown. digital painting, fantasy, concept art, cinematic colors, realistic shaded. by ilya kuvshinov, magali villeneuve, artgerm, greg rutkowski ","['a close up of a woman with blue makeup', ' beautiful avatar pictures', ' artgerm julie bell beeple', ' hyperrealistic fantasy art', ' realistic digital art 4k', ' realistic digital art 4 k', ' glowing blue face', ' gorgeous digital painting', ' vibrant fan art', ' tomasz alen kopera and cgsociety', ' beautiful digital artwork', ' wadim kashin. ultra realistic']"
281,"glen coe sunrise inside a steampunk glass jar, matte painting, contest winner, photorealistic, cinematic, terragen ","['a view of a valley through a window of a plane', ' train window', ' majestic landscape', ' window view', ' scotland', ' scenic view', ' scottish highlands', ' scenic full shot', ' mystical setting', ' epic scenic shot', ' detailed scenic view', ' stunning view', ' train', ' breath taking', ' breathtaking landscape', ' travel', ' amazing view', ' faroe', ' icelandic valley', ' norway', ' in between a gorge', ' fjords']"
282,"detailed digital biopunk biomechanical city in front of retrofuturistic iridium flowers, cinematic lighting, 8 k, artgerm, wlop, rutkowski, carne griffiths, ayami kojima, trending cgsociety deviantart, minimalism ","['a group of people standing in front of a futuristic city', ' futuristic digital painting', ' futuristic concept art', ' paul lehr and beeple', ' mystical sci-fi concept art', ' science fiction concept art', ' high quality digital concept art', ' futuristic digital art', ' in a futuristic cyberpunk city', ' arstation and beeple highly', ' sci-fi digital art', ' future concept art']"
283,"a 3 d model of a car, blender, unreal engine ","['a red and silver sports car next to a black and white car', ' car concept', ' concept car', ' concept car design', ' 3d concept render', ' 3 d concept render', ' 3 d concept', ' 3d concept', ' futuristic car concept', ' futuristic concept car', ' concept automobile design', ' concept render', ' vehicle concept photo!!', ' 3 d render n - 9', ' 3d final render']"
284,golden mountain of bitmaps ,"['a yellow and black square with a red border', ' by Anni Albers', ' carpet', ' green and yellow', ' abstract cloth simulation', ' yellow and green', ' alternate album cover', ' yellow background', ' synthetic polymer paint on linen', ' on a yellow canva', ' magic eye style poster', ' green and yellow colors', ' stereogram', ' square lines', ' weave', ' red-yellow colors']"
285,"style of beeple!!!!!, workshop!!!!, hangar, mickey mouse head, broken, repair, brush strokes, automaton, mechanical claw, group of soldiers!!!!!!, overalls, grime, haze, machinery, dystopian, concept art, artstation, cyan ","['a mickey mouse statue in a hospital room', ' mickey mouse', ' inspired by Mike Winkelmann', ' anthropomorphic mouse', ' disney render', ' disneyland background', ' disney steampunk', ' disney concept art', ' photorealistic disney', ' disney art', ' portrait of mickey mouse', ' disney concept artists', ' cyberpunk mouse folk engineer', ' disney character', ' disney!!!!', ' vintage disney', ' sergey kolesov']"
286,"eternal happiness, by hayami brightmind and studio ghibli, beautiful, futuristic, scifi, stars, unique, artstation ","['a woman standing next to a robot in a space', ' girl in space', ' in a galaxy', ' official fanart', ' loish and goro fujita', ' tatami galaxy', ' dressed in stars and planets', ' goddess of space and time', ' her hair is the milky way', ' in deep space', ' in space', ' by Kamisaka Sekka', ' in the cosmos']"
287,"bender chef in a kitchen, by josan gonzalez splash art graphic design color splash high contrasting art, fantasy, highly detailed, art by greg rutkowski ","['a painting of a man in a gas mask', ' cyril rolando and goro fujita', ' painting by android jones', ' portrait of bender from futurama', ' cyril rolando and m.w kaluta', ' cyril rolando and m. w kaluta', ' portrait bender from futurama', ' beeple masterpiece', ' greg beeple', ' beeple and jeremiah ketner']"
288,"portrait, donald trump warrior, heavy bronze breastplate, by donato giancola, wayne reynolds, jeff easley dramatic light, high detail, cinematic lighting, artstation, dungeons and dragons, in the mountains, ","['a painting of a man in armor riding a horse', ' donald trump as a knight', ' donald trump in dark souls', ' donald trump is a space marine', ' donald trump as jabba the hutt', ' mark brooks detailed', ' by Donato Giancola', ' donald trump in skyrim', ' painting of donald trump', ' donald trump as thanos', ' donald trump as a cyborg']"
289,"black crowned crane drinking champagne in a restaurant by greg rutkowski and thomas kinkade, trending on artstation, 3 d render octane ","['a man sitting at a table with a glass of wine', ' fine dining', ' having an awkward dinner date', ' inspired by Thomas Crane', ' simin stalenhag', ' hugh kretschmer', ' true realistic image', ' by Mathias Kollros', ' a surrealistic bird', ' inspired by Chris LaBrooy', ' very very surreal', ' portrait of an absurdly graceful']"
290,"closeup portrait of afat police officer eating from the ground in an amsterdam street, natural light, sharp, detailed face, magazine, press, photo. steve mccurry, david lazar, canon, nikon, focus ","['a man sitting on the ground eating food', ' policeman', ' sad cop looking at a', ' police officer', ' cop', ' police man!!', ' pizza is everywhere', ' policeman closeup', ' police state', ' prize winning', ' street photography style', ' street photography', ' police officers', ' candid street photography', ' winning photo', ' police', ' wearing a police uniform', ' munching pizza', ' at a city street', ' urban patrol']"
291,"snarling anubis, by james gurney, cyberpunk, scifi, dystopian art, cinematic, dramatic lighting, intricate details, cool colors, hd ","['a couple of animals standing next to each other', ' by John La Gatta', ' anubis', ' photo of ghost of anubis', ' anubis reptilian', ' by Tadeusz Pruszkówski', ' the god anubis', ' anubis-reptilian', ' by Aleksander Gierymski', ' by Stefan Lochner', ' by Karl Kopinski']"
292,"a clay model of a mythological hydra monster with many heads, intricate details, photograph, sharp focus, depth of field, cinematic lighting, inspired by ray harryhausen, ","['a sculpture of a dragon with a long tail', ' coiled realistic serpents', ' hydra with eight heads', ' jormungandr', ' intricate 3 d sculpture', ' intricate sculpture', ' detailed intricate render', ' serpent', ' highly detailed sculpture', ' cgi clay sculpture', ' intricate artwork. octane render', ' serpent body', ' incredible sharp detail', ' intricate render', ' too detailed sculpture', ' snake art']"
293,"shoulder portrait of a cute mila kunis as a cyberpunk assassin posing in front of her spaceship, ar sunglasses, golden hour dramatic light, high contrast, sharp, stanley lau, stanley artgerm, wlop, beeple ","['a woman wearing sunglasses and a black top', ' zoe kravitz futuristic astronaut', ' by Mike Winkelmann', ' jen bartel', ' retrofuturistic digital painting', ' the cyberpunk girl portrait', ' inspired by Mike Winkelmann', ' cyberpunk jackie welles', ' as a retrofuturistic heroine', ' cyberpunk judy alvarez', ' beautiful female neuromancer', ' digital art. @mariomaniacdude']"
294,"mysterious figure wearing a synthwave punk cyber cybernetic trenchcoat. photograph, postapocalyptic, over the shoulder, fashion, vimeo netflix, decorated punk trenchcoat. eerie. gentleman magician elegant ","['a man dressed in a costume holding a gun', ' cyberpunk robot', ' fashionable cyberpunk mechanoid', ' cyberpunk dude', ' cyberpunk with neon lighting', ' cyberpunk statue', ' in cyberpunk style', ' orthodox cyberpunk', ' has cyberpunk style', ' bright cyberpunk glow', ' cyberpunk)))', ' cyberpunk knight', ' cyberpunk suit', ' cyberpunk cyborg', ' cyberpunk wearing', ' cyberpunk hacker', ' cybernetic glowing', ' cyberpunk techwear', ' cyberpunk)))))']"
295,spicey vodka bottle ,"['a glass of orange juice with a slice of lemon', ' tall iced tea glass', ' iced tea glass', ' trapped in tall iced tea glass', ' glass with rum', ' old fashioned', ' ice tea in a mason jar', ' chianti molotov cocktails', ' cocktail in an engraved glass', ' old fashion', ' drink', ' infused', ' on a dark background', ' drinks bourbon', ' garnish']"
296,die cut sticker of anime chibi kawaii cute pineapple unicorn ,"['a hand holding a sticker with a pink and green cartoon character', ' holo sticker', ' kawaii cutest sticker ever', ' chibi', ' puffy sticker', ' sticker illustration', ' die cut sticker', ' sticker - svg', ' sticker design', ' die - cut sticker', ' stickers', ' sticker - art', ' cute colorful adorable', ' fantasy sticker illustration', ' slimy shiny reflective joy', ' humanoid pink female squid girl']"
297,"white fur mothman, big wings on back, mothman moth, six arms, amazing movie still hd ","['a white bird with wings spread out in the snow', ' big white glowing wings', ' huge feathery wings', ' full body made of white feathers', ' cosmic horror entity with wings', ' wispy gigantic wings', ' with large wings', ' flying mythical beasts', ' electric cats that fly over ice', ' feathery wings', ' dramatic cinematic detailed fur', ' giant wings', ' still from a fantasy movie', ' glowing white owl']"
298,"photoreal portrait intricate darkwar assassin wearing a dark hoody, apocalyptic scenario, intricate malfunctioning open circuits, glittering light leaks, electromagnetic waves, blue glowing aggressive led eyes, zbrush, rhino 3 d, greeble skin, octane render, industrial design, trending on artstation, cyberpunk, dystopia tokyo ","['a man wearing a futuristic helmet and goggles', ' cyberpunk face', ' hyper-realistic cyberpunk style', ' advanced digital cyberpunk art', ' cyberpunk character', ' cyberpunk hacker', ' has cyberpunk style', ' dark cyberpunk illustration', ' cyberpunk dude', ' cyberpunk digital art', ' cyberpunk portrait', ' cyberpunk art style', ' cyberpunk futuristic neo', ' bright cyberpunk glow', ' cyberpunk art ultrarealistic 8k', ' portrait of a cyberpunk cyborg']"
299,"grumpy mib sitting in a bar, fantasy, concept art, artstation, disney, pixar, dreamworks, anime, tyler edlin, feng zhu, thomas karpi ","['a man sitting at a bar in a dimly lit room', ' fantasy tavern background', ' tavern background', ' a multidimensional cozy tavern', ' hearthstone concept art', ' stylized concept art', ' dimly-lit cozy tavern', ' blizzard hearthstone concept art', ' background artwork', ' bar background', ' dimly lit cozy tavern', ' speakeasy bar background', ' inside a tavern', ' hearthstone art']"
300,the problem solver ,"['a poster of a man with a hat on', ' propaganda art', ' album art', ' pogrom', ' promotional artwork', ' promo art', ' promotion artwork', ' propaganda-print', ' album cover', ' promotional art', ' nazi propaganda', ' barbara kruger', ' propaganda poster', ' official artwork', ' vinyl cover from 1988', ' post - punk album cover', ' album artwork', ' saul bromberger', ' album art cover']"
